Target_Team,Name,Current_Team,Primary_Pos,OPS_R,Starter_OPS_R,Predicted_RPR_Gain,Is_Upgrade
OAK,Leody Taveras,TEX,CF,0.695773812,0.759784225,0.010520306,TRUE
OAK,Nico Hoerner,CHC,2B,0.724178288,0.630990316,0.004660963,TRUE
PHI,Rafael Devers,BOS,3B,0.910506134,0.739717208,0.065527491,TRUE
PHI,Jose Altuve,HOU,2B,0.826904327,0.703053395,0.063052493,TRUE
PHI,Marcus Semien,TEX,2B,0.790182053,0.703053395,0.05552008,TRUE
PHI,Maikel Garcia,KCR,3B,0.621207637,0.739717208,0.039114864,TRUE
PHI,Ketel Marte,ARI,2B,0.901257206,0.703053395,0.03710658,TRUE
PHI,Jose Ramirez,CLE,3B,0.887541279,0.739717208,0.032132083,TRUE
PHI,Matt Chapman,SFG,3B,0.771871094,0.739717208,0.027579449,TRUE
PHI,Adolis Garcia,TEX,RF,0.769706109,0.937899984,0.021706156,TRUE
PHI,Anthony Santander,BAL,RF,0.826869955,0.937899984,0.015010463,TRUE
PHI,Ryan McMahon,COL,3B,0.748149013,0.739717208,0.011064971,TRUE
